"parametre";"categorie";"pourcentage";"n";"N"
"a";"2020";19,8058252427184;102;515
"a";"2021";14,368932038835;74;515
"a";"2022";16,504854368932;85;515
"a";"2023";33,3980582524272;172;515
"a";"2024";15,9223300970874;82;515
"mod_peche";"chasse sous-marine";7,37864077669903;38;515
"mod_peche";"peche du bord";62,9126213592233;324;515
"mod_peche";"peche embarquée";29,3203883495146;151;515
"mod_peche";"peche à l'oursin";0,388349514563107;2;515
"sexe";"femme";3,30097087378641;17;515
"sexe";"homme";96,6990291262136;498;515
"res_tour";"occasionnel";5,04854368932039;26;515
"res_tour";"resident";77,0873786407767;397;515
"res_tour";"secondaire";4,85436893203883;25;515
"res_tour";"touriste";13,0097087378641;67;515
"Temps_peche_estime.cat2h";"<2h";11,4563106796117;59;515
"Temps_peche_estime.cat2h";">=2h";88,5436893203884;456;515
"zone.gp";"Agriates";1,36186770428016;7;514
"zone.gp";"Est Cap";41,0505836575875;211;514
"zone.gp";"nimp_ou";33,4630350194552;172;514
"zone.gp";"Nord Cap";1,36186770428016;7;514
"zone.gp";"Ouest Cap";5,6420233463035;29;514
"zone.gp";"Saint-Florent";17,1206225680934;88;514
"age_classe";"13-24";1,92307692307692;5;260
"age_classe";"25-39";15,3846153846154;40;260
"age_classe";"40-49";23,4615384615385;61;260
"age_classe";"50-59";44,6153846153846;116;260
"age_classe";"60-69";8,46153846153846;22;260
"age_classe";"70 et plus";6,15384615384615;16;260
"cat_pro.gp";"activite";51,5384615384615;134;260
"cat_pro.gp";"etudiant";1,53846153846154;4;260
"cat_pro.gp";"retraite";37,6923076923077;98;260
"cat_pro.gp";"sans_emploi-en_arret";9,23076923076923;24;260
"nb_sort_an_cat";"Q1 (<=10)";26,8199233716475;70;261
"nb_sort_an_cat";"Q2 (11-15)";30,2681992337165;79;261
"nb_sort_an_cat";"Q3 (16-30)";20,3065134099617;53;261
"nb_sort_an_cat";"Q4 (>=31)";22,6053639846743;59;261
"classe_avis_pnm";"negatif";0,769230769230769;2;260
"classe_avis_pnm";"p_avis";15,3846153846154;40;260
"classe_avis_pnm";"positif";83,8461538461539;218;260
"poss_bat";"non";52,8735632183908;138;261
"poss_bat";"oui";47,1264367816092;123;261
"time.day.gp";"am";51,5384615384615;134;260
"time.day.gp";"journee";3,46153846153846;9;260
"time.day.gp";"nimp_q";32,6923076923077;85;260
"time.day.gp";"nuit";0,384615384615385;1;260
"time.day.gp";"pm";11,9230769230769;31;260
"dep.mod_peche.chr";"< 100 euros";36,4341085271318;94;258
"dep.mod_peche.chr";"entre 100-500 euros";22,8682170542636;59;258
"dep.mod_peche.chr";"entre 1000-2000 euros";9,68992248062016;25;258
"dep.mod_peche.chr";"entre 500-1000 euros";11,2403100775194;29;258
"dep.mod_peche.chr";"supérieur à 2000";19,7674418604651;51;258
